model_name,precision_at_1,precision_at_3,precision_at_5,precision_at_10,recall_at_1,recall_at_3,recall_at_5,recall_at_10,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10
baseline,0.01775147928994083,0.007889546351084813,0.015384615384615385,0.024852071005917162,0.01775147928994083,0.023668639053254437,0.07692307692307693,0.2485207100591716,0.01775147928994083,0.02148479144125123,0.042864356634312935,0.09630789486458614
district_weighted,0.07100591715976332,0.0690335305719921,0.0804733727810651,0.06449704142011835,0.07100591715976332,0.20710059171597633,0.40236686390532544,0.6449704142011834,0.07100591715976332,0.14989950621302014,0.22984711806509323,0.30856136175757226
place_type_weighted,0.01775147928994083,0.007889546351084813,0.015384615384615385,0.027218934911242606,0.01775147928994083,0.023668639053254437,0.07692307692307693,0.27218934911242604,0.01775147928994083,0.02148479144125123,0.042864356634312935,0.10396511512224872
time_weighted,0.01775147928994083,0.007889546351084813,0.015384615384615385,0.029585798816568046,0.01775147928994083,0.023668639053254437,0.07692307692307693,0.2958579881656805,0.01775147928994083,0.02148479144125123,0.042864356634312935,0.11093387211744447
proposed,0.07100591715976332,0.0670611439842209,0.07928994082840236,0.06804733727810651,0.07100591715976332,0.20118343195266272,0.39644970414201186,0.6804733727810651,0.07100591715976332,0.14694092633136335,0.22636991391315417,0.31822576680259196
