query_id,candidate_name,place_name,district,in_raw_top50,best_raw_rank,raw_candidate_count
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,오세훈,쌍리단길·생문시장,성동구,False,,22
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,서울배달라이더 현장,종로구,False,,50
OH_20260501_1550_성동구_서울숲_OH_0019,오세훈,서울숲,성동구,True,6,33
OH_20260501_1630_성동구_서울숲야외무대_OH_0020,오세훈,서울숲 야외무대,성동구,True,6,33
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,오세훈,상암동 월드컵공원,마포구,True,2,19
OH_20260502_0930_성북구_상경청년자취방_OH_0022,오세훈,상경청년 자취방,성북구,False,,50
OH_20260503_0830_용산구_효창운동장_OH_0027,오세훈,효창운동장,용산구,False,,43
OH_20260504_1400_구로구_온수역_OH_0034,오세훈,온수역,구로구,False,,50
OH_20260505_1330_중구_서울광장_OH_0038,오세훈,서울광장,중구,False,,10
OH_20260505_1430_중구_ddp_OH_0039,오세훈,DDP,중구,False,,50
OH_20260505_1540_서초구_예술의전당_OH_0040,오세훈,예술의전당,서초구,False,,50
OH_20260506_0640_성동구_마장동축산물시장_OH_0041,오세훈,마장동축산물시장,성동구,False,,22
OH_20260506_1030_중구_장충체육관_OH_0042,오세훈,장충체육관,중구,False,,25
OH_20260507_1000_영등포구_대림1구역재개발현장_OH_0047,오세훈,대림1구역 재개발 현장,영등포구,False,,50
OH_20260507_1500_광진구_구의2동주택재개발후보지_OH_0050,오세훈,구의2동 주택재개발 후보지,광진구,False,,50
OH_20260508_1030_중구_서울장애인종합복지관_OH_0052,오세훈,서울장애인종합복지관,중구,False,,25
OH_20260508_1400_서대문구_가좌역광장_OH_0053,오세훈,가좌역광장,서대문구,False,,48
OH_20260509_1500_동대문구_청량리경동시장일대_OH_0058,오세훈,청량리 경동시장 일대,동대문구,True,4,50
OH_20260511_1420_구로구_고척1동이동약자현장_OH_0062,오세훈,고척1동 이동약자 현장,구로구,False,,50
OH_20260512_1000_종로구_광화문광장감사의정원_OH_0065,오세훈,광화문광장 감사의정원,종로구,False,,29
OH_20260515_1500_송파구_잠실mice현장_OH_0083,오세훈,잠실 MICE 현장,송파구,False,,50
OH_20260516_0830_노원구_공릉동_OH_0086,오세훈,공릉동,노원구,True,9,50
OH_20260516_1000_송파구_잠실보조경기장_OH_0087,오세훈,잠실보조경기장,송파구,False,,14
OH_20260517_1300_중랑구_중랑서울장미축제_OH_0093,오세훈,중랑 서울장미축제,중랑구,False,,50
OH_20260518_1130_영등포구_서울청년취업사관학교_OH_0097,오세훈,서울 청년취업사관학교,영등포구,False,,50
OH_20260518_1220_영등포구_서울시창업지원시설_OH_0098,오세훈,서울시 창업지원시설,영등포구,False,,50
OH_20260519_1000_종로구_창신동쪽방촌온기창고_OH_0102,오세훈,창신동쪽방촌 온기창고,종로구,False,,15
OH_20260519_1030_종로구_창신동문구완구거리_OH_0103,오세훈,창신동 문구완구거리,종로구,False,,39
OH_20260521_0930_강북구_수유역_OH_0109,오세훈,수유역,강북구,False,,50
OH_20260521_1000_강북구_삼양사거리_OH_0110,오세훈,삼양사거리,강북구,False,,50
OH_20260521_1100_서대문구_인왕시장_OH_0111,오세훈,인왕시장,서대문구,False,,22
OH_20260521_1130_서대문구_국민은행홍제동점_OH_0112,오세훈,국민은행 홍제동점,서대문구,False,,50
OH_20260521_1300_영등포구_우리시장_OH_0113,오세훈,우리시장,영등포구,True,9,26
