query_id,gold_place_name,gold_district,gold_place_type,campaign_activity_type,raw_candidate_count,in_raw_top50,in_raw_top100,best_raw_rank,final_hit_at_10,best_final_rank,coverage_status
2026-04-17_15:30_강동구,명일동 싱크홀 현장,강동구,정책현장,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-04-17_16:00_강동구,고덕비즈밸리,강동구,정책현장,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-04-17_16:35_강동구,고덕비즈밸리역 공사현장,강동구,교통거점,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-04-19_14:40_노원구,불암산철쭉동산,노원구,공원,방문인사,50,False,False,,False,,missing_from_raw_candidates
2026-04-22_18:00_은평구,불광천,은평구,공원,거리인사,50,False,False,,False,,missing_from_raw_candidates
2026-04-24_14:45_성동구,아지오 성수점,성동구,골목상권,방문인사,19,False,False,,False,,missing_from_raw_candidates
2026-04-24_16:50_성동구,금남시장,성동구,전통시장,지역상권방문,19,True,True,9,True,5,covered
2026-04-25_09:00_서초구,잠수대교 남단,서초구,공원,체육행사,50,False,False,,False,,missing_from_raw_candidates
2026-04-25_11:40_중구,남대문시장,중구,전통시장,지역상권방문,50,True,True,1,True,1,covered
2026-04-26_11:55_영등포구,광야홈리스복지센터,영등포구,복지시설,복지현장방문,21,False,False,,False,,missing_from_raw_candidates
2026-04-27_10:20_서초구,광수약국,서초구,정책현장,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-04-27_11:00_서초구,서울고속버스터미널 지하상가,서초구,골목상권,지역상권방문,50,False,False,,False,,missing_from_raw_candidates
2026-04-29_10:50_성북구,장위14주택재개발구역,성북구,재개발/도시개발현장,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-04-29_12:00_성북구,정릉공영차고지,성북구,교통거점,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-04-30_05:00_양천구,신정차량사업소,양천구,노동현장,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-04-30_05:40_양천구,양천공영차고지,양천구,노동현장,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-04-30_15:00_금천구,금천 현대시장,금천구,전통시장,지역상권방문,50,False,False,,False,,missing_from_raw_candidates
2026-05-01_14:00_마포구,여의도공원 10번 출구,마포구,노동현장,기념행사,50,False,False,,False,,missing_from_raw_candidates
2026-05-02_07:00_마포구,마포구 월드컵로 251,마포구,체육시설,체육행사,19,False,False,,False,,missing_from_raw_candidates
2026-05-02_10:00_동대문구,밥퍼나눔운동본부,동대문구,복지시설,복지현장방문,24,False,False,,False,,missing_from_raw_candidates
2026-05-03_08:30_용산구,효창운동장,용산구,체육시설,체육행사,50,False,False,,False,,missing_from_raw_candidates
2026-05-04_14:30_영등포구,한국거래소,영등포구,정책현장,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-05-05_11:00_광진구,서울어린이대공원,광진구,어린이/가족시설,기념행사,44,True,True,9,True,1,covered
2026-05-05_13:00_송파구,잠실종합운동장,송파구,체육시설,현장방문,14,False,False,,False,,missing_from_raw_candidates
2026-05-06_10:40_중구,장충체육관,중구,복지시설,기념행사,25,False,False,,False,,missing_from_raw_candidates
2026-05-07_16:00_송파구,송파 거여새마을지구 공공재개발 현장,송파구,재개발/도시개발현장,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-05-07_17:00_송파구,새마을전통시장,송파구,전통시장,지역상권방문,50,True,True,8,True,4,covered
2026-05-08_15:00_강남구,개포우성7차아파트 1015~105동 사이,강남구,재개발/도시개발현장,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-05-09_11:45_영등포구,샛강생태공원,영등포구,공원,현장방문,50,False,False,,False,,missing_from_raw_candidates
2026-05-09_13:30_영등포구,여의도공원 3동 무궁화화장실 앞,영등포구,노동현장,현장방문,20,False,False,,False,,missing_from_raw_candidates
2026-05-11_10:00_강서구,마곡 LG사이언스파크 ISC동,강서구,정책현장,현장방문,15,False,False,,False,,missing_from_raw_candidates
2026-05-14_14:00_중구,투썸플레이스 정동길점,중구,골목상권,정책간담회,50,False,False,,False,,missing_from_raw_candidates
2026-05-15_14:40_중랑구,먹골역 7번출구 앞,중랑구,공원,방문인사,50,False,False,,False,,missing_from_raw_candidates
2026-05-16_10:00_송파구,잠실실내체육관,송파구,체육시설,체육행사,14,False,False,,False,,missing_from_raw_candidates
2026-05-16_12:30_성동구,성수역 3번출구 앞,성동구,골목상권,현장방문,19,False,False,,False,,missing_from_raw_candidates
2026-05-16_18:40_종로구,황인재문,종로구,종교시설,종교행사,50,False,False,,False,,missing_from_raw_candidates
