query_id,rank,recommended_place_name,recommended_district,recommended_place_type,candidate_source,baseline_score,raw_rank,district_match_score,place_type_score,time_context_score,voter_target_score,floating_population_score,worker_population_score,transit_access_score,market_commercial_score,welfare_policy_score,campaign_context_score,candidate_style_score,novelty_diversity_score,rank_score,semantic_similarity,composite_similarity,final_score,score,exact_place_hit,explanation
2026-03-11_15:10_영등포구,5,대림중앙시장,영등포구,market,market,0.4696,8,1.0,1.0,0.8,0.9,0.63578,0.1,0.25,1.0,0.0,0.791667,0.196579,0.038462,0.929293,0.303079,0.859058,1.45775,1.45775,False,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_15:10_영등포구,6,우리시장,영등포구,market,market,0.4695,9,1.0,1.0,0.8,0.9,0.635725,0.1,0.25,1.0,0.0,0.791667,0.196579,0.038462,0.919192,0.303079,0.859058,1.457344,1.457344,False,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_15:10_영등포구,7,선유로운골목형상점가,영등포구,market,market,0.4686,10,1.0,1.0,0.8,0.9,0.63523,0.1,0.25,1.0,0.0,0.791667,0.196579,0.038462,0.909091,0.303079,0.859058,1.456117,1.456117,False,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_16:20_영등포구,1,영등포유통상가,영등포구,market,market,0.5381,4,1.0,1.0,0.8,0.9,0.673455,0.1,0.25,1.0,0.0,0.791667,0.196579,0.038462,0.969697,0.303079,0.859058,1.529346,1.529346,False,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_16:20_영등포구,2,영등포시장기계공구상가,영등포구,market,market,0.4939,5,1.0,1.0,0.8,0.9,0.649145,0.1,0.25,1.0,0.0,0.791667,0.196579,0.038462,0.959596,0.303079,0.859058,1.483628,1.483628,False,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_16:20_영등포구,3,영등포청과시장,영등포구,market,market,0.478,6,1.0,1.0,0.8,0.9,0.6404,0.1,0.25,1.0,0.0,0.791667,0.196579,0.038462,0.949495,0.303079,0.859058,1.466987,1.466987,False,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_16:20_영등포구,4,영등포전통시장,영등포구,market,market,0.4708,7,1.0,1.0,0.8,0.9,0.63644,0.1,0.25,1.0,0.0,0.791667,0.196579,0.038462,0.939394,0.303079,0.859058,1.459286,1.459286,False,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_16:20_영등포구,5,대림중앙시장,영등포구,market,market,0.4696,8,1.0,1.0,0.8,0.9,0.63578,0.1,0.25,1.0,0.0,0.791667,0.196579,0.038462,0.929293,0.303079,0.859058,1.45775,1.45775,True,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_16:20_영등포구,6,우리시장,영등포구,market,market,0.4695,9,1.0,1.0,0.8,0.9,0.635725,0.1,0.25,1.0,0.0,0.791667,0.196579,0.038462,0.919192,0.303079,0.859058,1.457344,1.457344,False,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_16:20_영등포구,7,선유로운골목형상점가,영등포구,market,market,0.4686,10,1.0,1.0,0.8,0.9,0.63523,0.1,0.25,1.0,0.0,0.791667,0.196579,0.038462,0.909091,0.303079,0.859058,1.456117,1.456117,False,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
