query_id,rank,gold_place_name,recommended_place_name,exact_place_hit,district_match,place_type_match,time_context_match,campaign_context_match,voter_target_match,semantic_similarity,composite_similarity
2026-03-13_14:50_노원구,1,구립수락노인종합복지관,공릉노인복지관,False,1.0,1.0,0.6,0.791667,1.0,0.143939,0.823144
2026-03-13_15:30_노원구,1,공릉도깨비시장,공릉동도깨비시장,False,1.0,1.0,0.8,0.791667,0.9,0.34163,0.862913
2026-03-13_15:30_노원구,2,공릉도깨비시장,상계중앙시장,False,1.0,1.0,0.8,0.791667,0.9,0.34163,0.862913
2026-03-16_13:00_구로구,1,남구로시장,오류버들시장 골목형상점가,False,1.0,1.0,0.85,0.791667,0.9,0.351495,0.8714
2026-03-16_13:00_구로구,2,남구로시장,남구로시장,True,1.0,1.0,0.85,0.791667,0.9,0.351495,0.8714
2026-03-16_13:00_구로구,3,남구로시장,그라운드고척 골목형상점가,False,1.0,1.0,0.85,0.791667,0.9,0.351495,0.8714
2026-03-16_13:00_구로구,4,남구로시장,구로시장,True,1.0,1.0,0.85,0.791667,0.9,0.351495,0.8714
2026-03-16_13:00_구로구,5,남구로시장,가리봉시장,False,1.0,1.0,0.85,0.791667,0.9,0.351495,0.8714
2026-03-16_13:00_구로구,6,남구로시장,고척근린시장,False,1.0,1.0,0.85,0.791667,0.9,0.351495,0.8714
2026-03-16_13:00_구로구,7,남구로시장,개봉중앙 골목형상점가,False,1.0,1.0,0.85,0.791667,0.9,0.351495,0.8714
2026-03-16_14:00_구로구,1,궁동종합사회복지관,구로노인종합복지관,False,1.0,1.0,0.6,0.791667,1.0,0.185319,0.827282
2026-03-17_14:00_마포구,1,"망원시장, 월드컵시장",아현시장,False,1.0,1.0,0.8,0.791667,0.9,0.366314,0.865381
2026-03-17_14:00_마포구,2,"망원시장, 월드컵시장",연남동골목형상점가,False,1.0,1.0,0.8,0.791667,0.9,0.366314,0.865381
2026-03-17_14:00_마포구,3,"망원시장, 월드컵시장",망원시장,True,1.0,1.0,0.8,0.791667,0.9,0.366314,0.865381
2026-03-17_14:00_마포구,4,"망원시장, 월드컵시장",홍대레드로드골목형상점가,False,1.0,1.0,0.8,0.791667,0.9,0.366314,0.865381
2026-03-17_14:00_마포구,5,"망원시장, 월드컵시장",망원동월드컵시장,False,1.0,1.0,0.8,0.791667,0.9,0.366314,0.865381
2026-03-19_10:00_송파구,1,잠실학생체육관,잠실(송파구청),False,1.0,1.0,0.3,0.8125,0.85,0.246144,0.776489
2026-03-24_17:00_광화문,1,세종대로 사거리 광화문 광장,서울역,False,0.0,1.0,1.0,0.75,0.85,0.0,0.5975
2026-03-24_17:00_광화문,2,세종대로 사거리 광화문 광장,잠실(송파구청),False,0.0,1.0,1.0,0.75,0.85,0.0,0.5975
2026-03-24_17:00_광화문,3,세종대로 사거리 광화문 광장,강남,False,0.0,1.0,1.0,0.75,0.85,0.0,0.5975
2026-03-24_17:00_광화문,4,세종대로 사거리 광화문 광장,홍대입구,False,0.0,1.0,1.0,0.75,0.85,0.0,0.5975
2026-03-24_17:00_광화문,5,세종대로 사거리 광화문 광장,고속터미널,False,0.0,1.0,1.0,0.75,0.85,0.0,0.5975
2026-03-24_17:00_광화문,6,세종대로 사거리 광화문 광장,삼성(무역센터),False,0.0,1.0,1.0,0.75,0.85,0.0,0.5975
2026-03-24_17:00_광화문,7,세종대로 사거리 광화문 광장,성수,False,0.0,1.0,1.0,0.75,0.85,0.0,0.5975
2026-03-24_17:00_광화문,8,세종대로 사거리 광화문 광장,선릉,False,0.0,1.0,1.0,0.75,0.85,0.0,0.5975
2026-03-24_17:00_광화문,9,세종대로 사거리 광화문 광장,용산,False,0.0,1.0,1.0,0.75,0.85,0.0,0.5975
2026-03-24_17:00_광화문,10,세종대로 사거리 광화문 광장,구로디지털단지,False,0.0,1.0,1.0,0.75,0.85,0.0,0.5975
2026-03-24_17:40_종로구,1,세종마을 음식문화거리,동대문종합시장,False,1.0,1.0,0.85,0.791667,0.9,0.304455,0.866696
