query_id,candidate_name,date,time,district,place_type,target_voter_group,context_tags,raw_rank,recommended_place_name,recommended_district,recommended_place_type,baseline_score,place_id,candidate_source
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,오세훈,2026-04-29,10:30,성동구,골목상권,상인,manual_visual_review;address_review_required;골목상권;지역상권방문;성동구;오전,21,오목내길골목형상점가,양천구,market,0.421,양천구_오목내길골목형상점가,market
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,오세훈,2026-04-29,10:30,성동구,골목상권,상인,manual_visual_review;address_review_required;골목상권;지역상권방문;성동구;오전,22,명동남산골 골목형상점가,중구,market,0.4208,중구_명동남산골_골목형상점가,market
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,1,종로노인종합복지관,종로구,senior_friendly,0.7444,A3971,senior_friendly
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,2,낙산근린공원,종로구,park,0.6697,22,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,3,북악산도시자연공원,종로구,park,0.6574,68,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,4,인왕산도시자연공원,종로구,park,0.626,80,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,5,세종로공원,종로구,park,0.6186,107,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,6,경희궁,종로구,park,0.6141,29,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,7,삼청근린공원,종로구,park,0.6088,79,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,8,광화문시민열린마당,종로구,park,0.6025,6,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,9,와룡근린공원,종로구,park,0.5976,66,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,10,사직근린공원,종로구,park,0.5975,76,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,11,아차산공원,광진구,park,0.5971,114,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,12,꿩고개근린공원,강서구,park,0.5968,38,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,13,선유도근린공원,영등포구,park,0.5956,86,park
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,2026-05-01,11:40,종로구,노동현장,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,14,영등포근린공원,영등포구,park,0.5954,16,park
