query_id,date,time,district,place_type,target_voter_group,context_tags,raw_rank,recommended_place_name,recommended_district,recommended_place_type,baseline_score,place_id,candidate_source
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,25,불광먹자골목형상점가,은평구,market,0.4812,은평구_불광먹자골목형상점가,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,26,남구로시장,구로구,market,0.4811,구로구_남구로시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,27,비단길현대시장,금천구,market,0.4807,금천구_비단길현대시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,28,신당 미래유산 먹거리 골목형상점가,중구,market,0.4803,중구_신당_미래유산_먹거리_골목형상점가,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,29,제기동 고대앞마을 골목형상점가,동대문구,market,0.4799,동대문구_제기동_고대앞마을_골목형상점가,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,30,그라운드고척 골목형상점가,구로구,market,0.4792,구로구_그라운드고척_골목형상점가,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,31,까치산시장,강서구,market,0.4792,강서구_까치산시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,32,가양역사거리 골목형상점가,강서구,market,0.4788,강서구_가양역사거리_골목형상점가,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,33,풍납시장,송파구,market,0.4787,송파구_풍납시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,34,남부골목시장,강서구,market,0.4786,강서구_남부골목시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,35,서울중앙시장,중구,market,0.4782,중구_서울중앙시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,36,영등포청과시장,영등포구,market,0.478,영등포구_영등포청과시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,37,장충남소영길 골목형상점가,중구,market,0.4777,중구_장충남소영길_골목형상점가,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,38,아현시장,마포구,market,0.4776,마포구_아현시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,39,송정벚꽃골목형상점가,성동구,market,0.4775,성동구_송정벚꽃골목형상점가,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,40,우림골목시장,중랑구,market,0.4775,중랑구_우림골목시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,41,신성전통시장,광진구,market,0.477,광진구_신성전통시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,42,신중부시장,중구,market,0.4769,중구_신중부시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,43,방산종합시장,중구,market,0.4767,중구_방산종합시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,44,숭실마루길 골목형상점가,동작구,market,0.4765,동작구_숭실마루길_골목형상점가,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,45,신도봉시장,도봉구,market,0.4765,도봉구_신도봉시장,market
2026-03-10_17:40_중구,2026-03-10,17:40,중구,전통시장,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,46,연남동골목형상점가,마포구,market,0.4764,마포구_연남동골목형상점가,market
