feature_name,non_zero_count,non_zero_ratio,mean_bonus,max_bonus,total_bonus,correlation_with_hit,comment
district_bonus,531,0.7585714285714286,0.5928571428571429,1.0,415.0,0.1697359475720466,hit 후보와 양의 상관을 보여 성능 개선 근거로 설명 가능
place_type_bonus,669,0.9557142857142857,0.9373571428571428,1.0,656.15,0.04719869436024004,활성화되지만 단독 hit 상관은 제한적
time_bonus,700,1.0,0.6144285714285714,1.0,430.09999999999997,0.10871754045960144,hit 후보와 양의 상관을 보여 성능 개선 근거로 설명 가능
context_bonus,669,0.9557142857142857,0.3532571428571429,0.61,247.28000000000003,0.08190312338019196,hit 후보와 양의 상관을 보여 성능 개선 근거로 설명 가능
target_bonus,622,0.8885714285714286,0.6644285714285715,1.0,465.1,0.05901546929551105,hit 후보와 양의 상관을 보여 성능 개선 근거로 설명 가능
rank_bonus,700,1.0,0.8663849528571427,1.0,606.4694669999999,0.02086138011302588,활성화되지만 단독 hit 상관은 제한적
