k,precision_at_k,recall_at_k,ndcg_at_k,query_count
1,0.07142857142857142,0.07142857142857142,0.07142857142857142,70
3,0.05714285714285714,0.17142857142857143,0.13078069668367553,70
5,0.045714285714285714,0.22857142857142856,0.15351262496620435,70
10,0.027142857142857146,0.2714285714285714,0.1681966142662297,70
