model_name,P@1,P@3,P@5,P@10,R@1,R@3,R@5,R@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,optimization_score
baseline,0.01775147928994083,0.007889546351084813,0.015384615384615385,0.024852071005917162,0.01775147928994083,0.023668639053254437,0.07692307692307693,0.2485207100591716,0.01775147928994083,0.02148479144125123,0.042864356634312935,0.09630789486458614,0.06611407483968601
district_weighted,0.07100591715976332,0.0690335305719921,0.0804733727810651,0.06449704142011835,0.07100591715976332,0.20710059171597633,0.40236686390532544,0.6449704142011834,0.07100591715976332,0.14989950621302014,0.22984711806509323,0.30856136175757226,0.21209904071771435
place_type_weighted,0.01775147928994083,0.007889546351084813,0.015384615384615385,0.027218934911242606,0.01775147928994083,0.023668639053254437,0.07692307692307693,0.27218934911242604,0.01775147928994083,0.02148479144125123,0.042864356634312935,0.10396511512224872,0.07116096583519337
time_weighted,0.01775147928994083,0.007889546351084813,0.015384615384615385,0.029585798816568046,0.01775147928994083,0.023668639053254437,0.07692307692307693,0.2958579881656805,0.01775147928994083,0.02148479144125123,0.042864356634312935,0.11093387211744447,0.07596689468883733
proposed,0.07100591715976332,0.0670611439842209,0.07928994082840236,0.06804733727810651,0.07100591715976332,0.20118343195266272,0.39644970414201186,0.6804733727810651,0.07100591715976332,0.14694092633136335,0.22636991391315417,0.31822576680259196,0.2185190578286389
optimized_proposed,0.28994082840236685,0.2031558185404339,0.14201183431952663,0.0940828402366864,0.28994082840236685,0.6094674556213018,0.7100591715976331,0.9408284023668639,0.28994082840236685,0.4744955746407494,0.5149656351615797,0.5913019224255992,0.42835606732627723
