living_population_id,date_id,admin_dong_code,total_living_population,age_20_40_population,age_60_plus_population,age_20_40_ratio,age_60_plus_ratio,morning_living_population,afternoon_living_population,daytime_living_population,morning_score,afternoon_score
20260130_11170570,20260130,11170570,341202.9147,137175.6386,75261.6957,0.402035,0.220578,74213.1592,92002.7629,166215.9221,0.446486,0.553514
20260130_11170580,20260130,11170580,230360.7551,97448.5958,45903.8147,0.423026,0.199269,50106.218199999996,65356.0257,115462.2439,0.433962,0.566038
20260130_11170590,20260130,11170590,194654.8534,75729.2534,44988.5281,0.389044,0.231119,38774.494999999995,48277.9675,87052.4625,0.445415,0.554585
20260130_11170625,20260130,11170625,1326869.6295,732718.1892,171208.7989,0.552216,0.129032,256363.6665,529983.5542,786347.2207,0.326018,0.673982
20260130_11170630,20260130,11170630,598619.4551,187880.3251,135448.354,0.313856,0.226268,129881.42629999999,164397.44,294278.8663,0.441355,0.558645
20260130_11170640,20260130,11170640,168972.3252,63058.4467,44657.5784,0.373188,0.264289,36816.7464,45996.4197,82813.1661,0.444576,0.555424
20260130_11170650,20260130,11170650,279275.982,152746.4798,43128.779800000004,0.546937,0.154431,50091.831,87169.5489,137261.3799,0.364938,0.635062
20260130_11170660,20260130,11170660,270452.2149,130975.41380000001,43609.7125,0.484283,0.161247,57060.096300000005,71771.0778,128831.1741,0.442906,0.557094
20260130_11170685,20260130,11170685,704254.703,354463.46739999996,101514.5419,0.503317,0.144145,145915.7358,257238.9952,403154.731,0.361935,0.638065
20260130_11170690,20260130,11170690,339953.2194,115511.4499,70623.505,0.339786,0.207745,77209.57459999999,105284.3179,182493.8925,0.42308,0.57692
20260130_11170700,20260130,11170700,149806.334,53243.4299,36295.3662,0.355415,0.242282,32475.0566,39851.4824,72326.539,0.449006,0.550994
20260130_11200520,20260130,11200520,360702.9748,148894.7585,77874.17450000001,0.41279,0.215896,73719.8205,84613.577,158333.39750000002,0.465599,0.534401
20260130_11200535,20260130,11200535,710813.9964,297585.2577,136112.1218,0.418654,0.191488,145089.6766,197169.9728,342259.6494,0.423917,0.576083
20260130_11200540,20260130,11200540,465135.1081,191590.9995,104935.7723,0.411904,0.225603,104444.66200000001,128702.9631,233147.6251,0.447977,0.552023
20260130_11200550,20260130,11200550,504764.4312,302416.2808,65585.50289999999,0.599124,0.129933,107001.4348,159734.739,266736.1738,0.401151,0.598849
20260130_11200560,20260130,11200560,827316.3702,383560.4757,139709.2572,0.46362,0.16887,168819.9785,270653.0751,439473.0536,0.384142,0.615858
20260130_11200570,20260130,11200570,401418.2276,142477.4689,89252.5305,0.354935,0.222343,81106.1268,91567.9149,172674.0417,0.469707,0.530293
20260130_11200580,20260130,11200580,242420.3575,78742.7641,53629.4824,0.324819,0.221225,51242.1409,51049.0955,102291.2364,0.500944,0.499056
20260130_11200590,20260130,11200590,296223.457,103867.7222,67175.5642,0.35064,0.226773,61961.7617,76870.6397,138832.4014,0.446306,0.553694
20260130_11200615,20260130,11200615,457063.3618,166569.7666,104042.4711,0.364435,0.227632,94123.3444,108310.4832,202433.82760000002,0.464959,0.535041
20260130_11200620,20260130,11200620,254877.53029999998,90251.8082,58465.0544,0.354099,0.229385,53869.3607,69079.7199,122949.08059999999,0.438144,0.561856
20260130_11200645,20260130,11200645,615471.0149000001,214921.6833,130433.3266,0.349199,0.211924,130516.9258,158555.4326,289072.3584,0.451503,0.548497
20260130_11200650,20260130,11200650,419186.6704,201434.2705,77709.1756,0.480536,0.185381,89515.2971,147078.8755,236594.1726,0.37835,0.62165
20260130_11200660,20260130,11200660,569220.8433,306619.438,82556.5278,0.538665,0.145034,118643.4529,223601.7877,342245.2406,0.346662,0.653338
20260130_11200670,20260130,11200670,447600.7883,210504.9773,86643.7254,0.470296,0.193574,94139.9388,152197.9134,246337.8522,0.382158,0.617842
20260130_11200690,20260130,11200690,1037647.1252,574216.5875,122309.969,0.553383,0.117872,222673.0267,443639.7234,666312.7501000001,0.334187,0.665813
20260130_11200720,20260130,11200720,233009.8917,112960.4328,44353.044499999996,0.484788,0.190348,53050.7921,64240.6701,117291.46220000001,0.452299,0.547701
20260130_11200790,20260130,11200790,415795.1856,190965.3803,86345.1231,0.459278,0.207663,93138.9268,125134.7489,218273.67570000002,0.426707,0.573293
20260130_11215710,20260130,11215710,864929.4702,560296.3968,96672.9213,0.647794,0.11177,168801.67070000002,247333.8127,416135.4834,0.405641,0.594359
20260130_11215730,20260130,11215730,545463.457,294489.5671,84663.3775,0.539889,0.155214,115364.2837,157017.9013,272382.185,0.423538,0.576462
20260130_11215740,20260130,11215740,358206.335,168301.2798,70126.8255,0.469845,0.195772,72380.2285,98292.8483,170673.07679999998,0.424087,0.575913
20260130_11215750,20260130,11215750,445106.3079,182262.2373,93705.85,0.40948,0.210525,91923.2226,113101.9588,205025.1814,0.448351,0.551649
20260130_11215760,20260130,11215760,333440.3265,130025.355,81330.8243,0.389951,0.243914,69536.8417,89297.1061,158833.94780000002,0.437796,0.562204
20260130_11215770,20260130,11215770,549671.9602,185436.345,147640.8455,0.337358,0.268598,119571.746,136110.7967,255682.5427,0.467657,0.532343
20260130_11215780,20260130,11215780,330338.4607,159465.3275,59246.5469,0.482733,0.179351,69392.566,103333.0089,172725.5749,0.40175,0.59825
20260130_11215810,20260130,11215810,817045.5912,240729.00040000002,147883.9018,0.294633,0.180998,169624.545,222646.7357,392271.2807,0.432416,0.567584
20260130_11215820,20260130,11215820,536313.6914,241518.5095,108041.6955,0.450331,0.201452,109931.579,148308.6634,258240.2424,0.425695,0.574305
20260130_11215830,20260130,11215830,554871.599,217462.3875,114590.8856,0.391915,0.206518,118091.55,148438.081,266529.631,0.443071,0.556929
20260130_11215840,20260130,11215840,589465.2743,225967.0725,128278.5236,0.383342,0.217618,117400.0962,156689.9302,274090.0264,0.428327,0.571673
20260130_11215847,20260130,11215847,628842.2585,300781.2343,124856.2965,0.47831,0.198549,127071.96770000001,184019.6404,311091.6081,0.408471,0.591529
20260130_11215850,20260130,11215850,504872.4886,233082.6604,92025.1158,0.461666,0.182274,100312.4174,127733.7979,228046.2153,0.439878,0.560122
20260130_11215860,20260130,11215860,436883.2386,152293.486,103905.8054,0.348591,0.237834,90445.63339999999,110109.2249,200554.8583,0.450977,0.549023
20260130_11215870,20260130,11215870,705899.0697,255842.9466,132789.163,0.362436,0.188114,143540.6068,220928.3629,364468.9697,0.393835,0.606165
20260130_11230536,20260130,11230536,985119.645,427790.3233,226079.5215,0.434252,0.229494,213688.8688,310916.6627,524605.5315,0.407332,0.592668
20260130_11230545,20260130,11230545,703266.7461999999,286933.55470000004,190345.78590000002,0.408001,0.270659,150521.0176,221291.4341,371812.4517,0.40483,0.59517
20260130_11230560,20260130,11230560,815042.9211,324696.2379,178255.8559,0.398379,0.218707,164870.2329,236539.0638,401409.2967,0.410728,0.589272
20260130_11230570,20260130,11230570,331742.4855,111882.8228,81118.4789,0.337258,0.244522,68788.7626,89559.6535,158348.4161,0.434414,0.565586
20260130_11230600,20260130,11230600,561079.0163,219732.3512,115517.13829999999,0.391625,0.205884,119281.3576,146820.019,266101.3766,0.448255,0.551745
20260130_11230610,20260130,11230610,513413.1993,178817.1092,127608.88930000001,0.348291,0.24855,104274.742,130851.2218,235125.9638,0.443485,0.556515
20260130_11230650,20260130,11230650,841235.2278,337644.9959,183635.931,0.401368,0.218293,174847.1789,240621.1077,415468.2866,0.420844,0.579156
20260130_11230660,20260130,11230660,713291.8869,245759.5684,141756.4307,0.344543,0.198736,143135.4377,202534.338,345669.7757,0.414081,0.585919
20260130_11230705,20260130,11230705,452318.73589999997,160264.2967,141396.6401,0.354317,0.312604,94731.4326,141791.2797,236522.7123,0.400517,0.599483
20260130_11230710,20260130,11230710,368820.6776,196818.2559,64350.5152,0.533642,0.174476,81413.4632,115166.6905,196580.1537,0.414149,0.585851
20260130_11230720,20260130,11230720,428465.8815,216052.11310000002,81566.6121,0.504246,0.190369,92823.7703,109759.313,202583.0833,0.458201,0.541799
