model_name,P@1,P@3,P@5,P@10,R@1,R@3,R@5,R@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,optimization_score
baseline,0.01775147928994083,0.007889546351084813,0.015384615384615385,0.024852071005917162,0.01775147928994083,0.023668639053254437,0.07692307692307693,0.2485207100591716,0.01775147928994083,0.02148479144125123,0.042864356634312935,0.09630789486458614,0.06611407483968601
district_weighted,0.07100591715976332,0.03747534516765286,0.03550295857988166,0.024852071005917162,0.07100591715976332,0.11242603550295859,0.17751479289940827,0.2485207100591716,0.07100591715976332,0.09404017314032173,0.120516502334252,0.14360014500940002,0.10390896594066673
place_type_weighted,0.01775147928994083,0.007889546351084813,0.015384615384615385,0.024852071005917162,0.01775147928994083,0.023668639053254437,0.07692307692307693,0.2485207100591716,0.01775147928994083,0.02148479144125123,0.042864356634312935,0.09630789486458614,0.06611407483968601
time_weighted,0.01775147928994083,0.007889546351084813,0.015384615384615385,0.024260355029585803,0.01775147928994083,0.023668639053254437,0.07692307692307693,0.24260355029585798,0.01775147928994083,0.02148479144125123,0.042864356634312935,0.09452665228669277,0.06489892396109198
proposed,0.07100591715976332,0.03747534516765286,0.03550295857988166,0.024852071005917162,0.07100591715976332,0.11242603550295859,0.17751479289940827,0.2485207100591716,0.07100591715976332,0.09404017314032173,0.120516502334252,0.14360014500940002,0.10390896594066673
optimized_proposed,0.10059171597633136,0.05522682445759368,0.04142011834319527,0.024852071005917162,0.10059171597633136,0.16568047337278108,0.20710059171597633,0.2485207100591716,0.10059171597633136,0.1377844882924778,0.15484522589009433,0.16903179871843646,0.12434850627729102
