market_id,market_name,district_name,market_address,market_type,floor_area,store_count
중구_신당오길_골목형상점가,신당오길 골목형상점가,중구,서울특별시 중구 퇴계로88길 21 일대 신당오길 골목형상점가,골목형,6890.7,113
중구_신중부시장,신중부시장,중구,서울특별시 중구 동호로33길 24 일대 신중부시장,골목형,7523.0,207
중구_신중앙시장,신중앙시장,중구,서울특별시 중구 퇴계로85길 36 어울쉼터 3층,골목형,9136.54,92
중구_신평화패션타운,신평화패션타운,중구,서울특별시 중구 청계천로 298 신평화패션타운,건물형,13494.0,1091
중구_아트프라자,아트프라자,중구,서울특별시 중구 마장로1길 28 아트프라자,건물형,6828.13,391
중구_약수시장_골목형상점가,약수시장 골목형상점가,중구,서울특별시 중구 동호로7길 ~ 다산로10로길 일대 약수시장 골목형상점가,골목형,43936.9,132
중구_을지로지하보도쇼핑센터,을지로지하보도쇼핑센터,중구,"서울특별시 중구 을지로 88, 131, 218 을지로지하보도쇼핑센터",지하도상가,20334.0,212
중구_을지입구지하상가,을지입구지하상가,중구,서울특별시 중구 을지로지하 58 을지입구지하상가,지하도상가,1225.0,64
중구_인현시장,인현시장,중구,서울특별시 중구 퇴계로41길 45 일대 인현시장,상점가,6702.0,79
중구_자유상가,자유상가,중구,서울특별시 중구 남대문로 36 자유상가,건물형,8646.0,283
중구_장충남소영길_골목형상점가,장충남소영길 골목형상점가,중구,서울특별시 중구 동호로24길 27-3 ~ 장충단로7길 32 일대 장충남소영길 골목형상점가,골목형,16974.2,162
중구_제일평화시장,제일평화시장,중구,서울특별시 중구 마장로 13 제일평화시장,건물형,9804.0,856
중구_중부시장,중부시장,중구,서울특별시 중구 을지로36길 35 일대 중부시장,골목형,20707.0,375
중구_청계5가쇼핑센터,청계5가쇼핑센터,중구,서울특별시 중구 동호로 390-3 청계5가쇼핑센터,지하도상가,1933.0,44
중구_청계6가_지하도상가,청계6가 지하도상가,중구,서울특별시 중구 장충단로 지하 280 청계6가 지하도상가,지하도상가,1535.0,49
중구_청계상가,청계상가,중구,서울특별시 중구 청계천로 160 청계상가,건물형,5817.08,180
