commercial_id,base_year_quarter_code,commercial_code,commercial_name,total_flow,age_20_flow,age_30_flow,age_40_flow,age_60_plus_flow,flow_06_11,flow_11_14,flow_14_17,flow_17_21,age_20_40_flow,age_20_40_ratio,age_60_plus_ratio,morning_flow_score,afternoon_flow_score
20254_3130033,20254,3130033,대림상가(청계상가),59500,8027,12529,12882,12187,13675,12262,12512,11083,33438,0.561983,0.204824,0.229832,0.602639
20254_3130032,20254,3130032,인현시장,217481,32901,43397,44777,38582,49096,44433,42917,40041,121075,0.556715,0.177404,0.225748,0.585757
20254_3130031,20254,3130031,청계천공구상가,300826,63933,67537,63318,47210,58435,55549,58899,75810,194788,0.647511,0.156935,0.194249,0.632452
20254_3130025,20254,3130025,삼익패션타운(남대문시장),79940,9050,16266,17685,19315,15612,21417,20918,13522,43001,0.537916,0.241619,0.195296,0.698737
20254_3130024,20254,3130024,남대문시장(자유상가),2183029,255357,453516,485976,511098,425608,585715,575522,375566,1194849,0.547335,0.234123,0.194962,0.703977
20254_3130022,20254,3130022,숭례문수입상가(남대문시장),72580,9483,16367,16948,14370,15276,19023,18837,12454,42798,0.589667,0.197988,0.210471,0.693221
20254_3130021,20254,3130021,신설종합시장,43263,7543,7660,6953,11369,8534,8476,8746,7205,22156,0.512124,0.262788,0.197259,0.564616
20254_3130020,20254,3130020,동묘시장(동묘벼룩시장),425316,88500,74615,66300,102158,88173,72321,73045,69940,229415,0.539399,0.240193,0.207312,0.506226
20254_3130019,20254,3130019,동대문상가D동,25824,3197,4542,6054,5323,5295,3093,2896,3045,13793,0.534116,0.206126,0.205042,0.34983
20254_3130018,20254,3130018,동대문문구완구거리(동대문문구완구시장),516594,78700,79722,94627,137605,100407,77766,81804,87299,253049,0.489841,0.26637,0.194363,0.477878
20254_3130017,20254,3130017,동대문상가C동,31763,3423,4474,6299,9759,6550,3997,3483,3734,14196,0.446935,0.307244,0.206215,0.353052
20254_3130016,20254,3130016,동대문상가B동,32242,3448,4488,6331,10078,6654,4069,3532,3794,14267,0.442497,0.312574,0.206377,0.353421
20254_3130015,20254,3130015,창신골목시장,632716,111054,71287,72718,219648,130722,81962,86165,117168,255059,0.403118,0.347151,0.206605,0.450905
20254_3130014,20254,3130014,동문시장,34605,4282,4804,6303,10903,6965,4832,4582,4915,15389,0.444705,0.31507,0.201271,0.414073
