park_id,park_name,area_sqm,main_facilities,region,park_address,longitude,latitude
66,와룡근린공원,207790.0,말바위 테니스장 노천탕,종로구,서울특별시 종로구 와룡공원길 192 (우) 03063,126.9901672,37.5907944
67,봉화산근린공원,1018689.0,봉수대 등,중랑구,서울특별시 중랑구 묵동 산46-1,127.0923625,37.6106404
68,북악산도시자연공원,954553.0,현재 북악은 청와대가 있어 일반인의 등산이 금지되어 있으나 1967년까지는 청와대 뒤의 북악 일대도 가벼운 등산길이었다. 그러나 1968년 1월 21일 북한 무장공비들이 이곳까지 침투해 온 사건이 발생하여 수도권 경비강화를 목적으로 북악스카이웨이를 만들고 등산길은 폐쇄하였다.   숙정문과 창의문 사이에는 성곽옆에 1.21사태 소나무가 생육중이다.   북악산도시자연공원에는 서울성곽 18.627km의 탐방코스중 4대문 중 북대문인 숙정문에서  4소문중 북소문인 창의문 구간 약 2km의 코스가 있다.   창의문 외곽에는 북악산도시자연공원은 아니지만 자연경관보호지역으로 백사실계곡이 인접하여 있다.,종로구,서울특별시 종로구 부암동 산2-6,126.9737295,37.5929992
69,북한산국립공원,77334000000.0,,강북구 등,"서울특별시 강북구, 도봉구, 서대문구, 성북구, 은평구, 종로구 일대  경기도 고양시, 양주시, 의정부시 일대",127.000938,37.624549
70,외국인묘지공원,13224.0,묘지 517기 휴게시설 편의시설 녹지대,마포구,서울특별시 마포구 양화진길 46(외국인묘지공원),126.911414,37.546797
71,불광근린공원,130345.0,도서관 산책로 실외배드민턴장 등,은평구,서울특별시 은평구 불광동 산33-1,126.9298962,37.6188016
72,불암산도시자연공원,5332422.0,등산로 및 휴게시설,노원구,서울특별시 노원구 한글비석로12길 51-33(불암산공원),127.0952714,37.6636719
73,용마폭포공원,5107964.0,광장 4개소 노인정 수영장 용마폭포공원,중랑구,서울특별시 중랑구 면목동 산1-4,127.0905888,37.5731968
74,사육신공원,47964.0,사육신묘 의절사 불이문 홍살문 비각 산책로,동작구,서울특별시 동작구 노량진로 191,126.948636,37.5137049
75,용왕산근린공원,213552.0,"용왕정 1동(정도600년 기념 건립) , 다목적구장 6000㎡ 조깅코스 400m, 실내배드민턴장 1개소 게이트볼장1개소 어린이 놀이터1개소 약수터2개소 각종 운동시설(체력단련장) 화장실 3개동 공원등 63개 기타시설 등",양천구,서울특별시 양천구 목동 199-51,126.8783125,37.5429593
76,사직근린공원,168099.87,사직단 단군성전 황학정 어린이도서관 종로시립도서관 수영장,종로구,서울특별시 종로구 사직로9길 5,126.9674018,37.5759864
77,우장산근린공원,359435.2,강서구민회관 서울정보기능대학 운동장(인조잔디구장조깅트랙) 테니스장 트림코스장 조각의 거리 야외무대 국궁장 등,강서구,서울특별시 강서구 내발산동 산4-5,126.844932,37.5541932
78,삼일근린공원,36660.0,삼일공원비 삼일공원 산책길 삼일공원 놀이터,동작구,서울특별시 동작구 사당동 산24-17,126.9743686,37.4860183
79,삼청근린공원,380735.0,삼청동문(암각) 배드민턴장 테니스장 어린이 놀이터 다목적 공터 및 매점 등,종로구,서울특별시 종로구 북촌로 134-1 (우) 03050,126.9842875,37.5895821
80,인왕산도시자연공원,1807420.9,인왕사 선바위 국사당 인왕천 만수천 석굴암약수터,종로구,서울특별시 종로구 옥인동 산 3-1,126.9578438,37.5849001
81,상도근린공원,359342.8,배드민턴장 생활체육시설 약수터 산책로,동작구,서울특별시 동작구 성대로6사길 27-6(상도공원),126.9385469,37.492299
82,일자산근린공원,285882.6,실내배드민턴장 실내체육관 산책로 X-게임장 잔디광장 인공폭포,강동구,서울특별시 강동구 동남로 660(일자산공원),127.1574587,37.5431657
83,쌍문근린공원,328018.0,산책등산로 정자 약수터 화장실 테니스장 배구장 배드민턴장 문화센터 등,도봉구,서울특별시 도봉구 쌍문동 산80,127.0271316,37.6531456
84,수락산도시자연공원,6691885.3,등산로 및 휴게시설,노원구,서울특별시 노원구 상계동 산3-1,127.0813633,37.699232
85,송파나루근린공원(석촌호수),285757.0,휴게소 서울놀이마당 매직아일랜드 석촌호수,송파구,서울특별시 송파구 잠실로 148 (잠실동),127.0983002,37.5069328
86,선유도근린공원,110407.0,녹색기둥의 정원 시간의 정원 수질정화원 수생식물원 선유정 네개의 원형공간 카페테리아나루 선유교 전망데크,영등포구,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,126.90014,37.543418
87,손기정체육공원,29682.2,손기정기념관 문화도서관 테니스장 게이트볼장 어린이놀이터 화장실 등,중구,서울특별시 중구 손기정로 101,126.9652702,37.5560189
88,성북근린공원,137759.0,생태연못 전망대 휴게광장 나무집 야외학습장 바닥분수 등,성북구,서울특별시 성북구 돈암동 616-1055,127.0078625,37.5948509
89,봉제산공원,917190.0,법성사 용문사 약수터 배드민턴장,강서구,서울특별시 강서구 화곡동 산41-6,126.8517836,37.5421979
90,서울창포원,51470.0,붓꽃원 약용식물원 수변식물원초화원. 방문자센터 등,도봉구,서울특별시 도봉구 마들로 916(서울창포원),127.047938,37.689585
91,북서울꿈의숲,662543.0,조경시설 : 청운답원 월영지 월광폭포 단풍숲 초화원 사슴동산 칠폭지 볼플라자 산책로 쉼터 데크 계류 옥상녹화 등 건축시설 : 방문자센터(서울디자인갤러리) 전망대 공연장(2) 미술관 창녕위궁재서 주차장(402대) 레스토랑(2) 카페(2) 기타시설 : 태양광발전시설 경사형엘리베이터(2) Open스튜디오,강북구,서울특별시 강북구 월계로 173,127.0407344,37.6233355
92,서서울호수공원,217946.0,소리분수(노즐41개) 미디어벽천 실개천 건천(계류시설) 백인의 식탁 음수전 등 체육시설 : 축구장 (3010㎡)ㆍ농구장 1면(240㎡)ㆍ배드민턴장 4면(1050㎡) 철봉 등 12 종(53개),양천구,서울특별시 양천구 남부순환로64길 20 (신월동),126.8304789,37.5278392
93,중랑캠핑숲,179666.0,조경시설  수경시설 : 2900㎡(분수연못 1120 테라스연못 440 계류 720 건천 620) 잔디광장 : 5000㎡(청소년문화존/Wi-Fi) 산 책 로 : 1767㎡(산책로 797 등산로 970) 조경수목 : 82473주(교목 2411 관목 80062) 기타녹지 : 90480㎡(지피식물 6000 잔디 14480 녹지 70000 초화 164000본)       휴양시설  캠 핑 장 : 47면(37200㎡/관리사무소 1동 화장실 1동 식기세척장 1동 운동시설 등)       교양시설  청소년독서실 : 936㎡(2층) 청소년커뮤니티센터 : 390㎡(3층) 생태학습존 청소년문화존 일부 : 24400㎡   관리시설 관리사무소 : 576㎡(공원 196 캠핑장 380/ 스파 화장실 매점 등) 주 차 장 : 68면(청소년문화존 58 가족캠프존 10) 공 원 등 : 136주 (공원등 90 보안등 46),중랑구,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),127.1093075,37.6049896
94,솔밭근린공원,34955.0,"- 조경시설: 생태연못, 그늘시렁, 산책로, 데크광장 등     - 운동시설: 배드민턴장(6면), 운동시설(27점) 등     - 어린이놀이터: 2개소    - 교양시설: 야외무대, 놀이마당, 조형물, 장기바둑쉼터 등    - 편익시설: 화장실, 음수대 등    - 관리시설: 관리사무소, 공원등, 안내표지판 등    - 수경시설: 바닥분수 63㎡    - 기   타 : 반려동물 산책로 약800m",강북구,서울특별시 강북구 우이동 80번지 일대,127.0116241,37.652331
95,금천체육공원(관악산),18083.0,전망대 목재데크길 다목적운동장 농구장 배드민턴장 간이무대 조합놀이대 황톳길 지압로 야외운동기구 등,금천구,서울특별시 금천구 독산동 산118-4 일대 (금천체육공원),126.908681,37.468164
96,금천폭포근린공원,4835.0,문화회관 2020㎡ 인공폭포(L30 x H12m) 공원시설 전망대 등,금천구,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),126.9040127,37.4468663
97,만수천공원(관악산),19650.0,체육시설 : 생활체육시설 독산테니스장(8면) 배드민턴장(2개소) 다목적 광장 편익시설 : 정자(3동) 화장실(2개소) 만수천 약수터,금천구,서울특별시 금천구 독산동 산8 일대,126.9090028,37.4734274
98,발바닥공원,7000.0,기반시설 : 산책로 조경시설 : 관상용식수대 그늘시렁 연못 휴양시설 : 정자 운동시설 : 체력단련시설 편익시설 : 화장실 지압보도 관리시설 : 도봉환경교실,도봉구,서울특별시 도봉구 시루봉로6길 33,127.031982,37.6597135
99,월천근린공원,10712.0,기반시설 : 산책로 조경시설 : 관상용식수대 그늘시렁 연못 휴양시설 : 정자 장의자 운동시설 : 배드민턴장 체력단련시설 유희시설 : 그네 미끄럼틀 시솔 조합놀이대 등 편익시설 : 화장실 음수대 관리시설 : 공원등 안내판,도봉구,서울특별시 도봉구 창동 28번지,127.0509895,37.6473889
100,용두근린공원,17182.0,"조경시설 : 연못 분수 그늘시렁 편의시설 : 음수대 휴게소 야외전시장 관리시설 : 공원안내판 관리동 기반시설 : 스마트쉼터, 도로 진입광장 휴게광장",동대문구,서울특별시 동대문구 용두동 34-1번지 일대,127.0390042,37.5732791
101,상암근린공원,160349.3,조경시설 : 생태연못 생태습지 암석원 그늘시렁 정자 등 편의시설 : 화장실 연식의자 등 관리시설 : 종합안내판 공원등 관리사무소 모유수유실 유모차대여소 등 기반시설 : 운동기구(어깨손목돌리기 등 7종 10조),마포구,서울특별시 마포구 상암동 1761,126.8859012,37.5760106
102,와우근린공원,87432.4,배드민턴장 약수터 농구장 조깅트랙 체력단련장 지압보도 광장,마포구,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),126.9289936,37.5517298
103,금호근린공원,13467.8,체육관 경로당 청소년 문화회관 어린이집 그늘시렁 음수대 평의자 등의자 운동시설물 공원등 종합안내간판 등,성동구,서울특별시 성동구 장터1길 18,127.0189457,37.5494726
104,달맞이근린공원,63411.4,경로당 어린이놀이터 배드민턴장 화장실 음수대 공원등,성동구,서울특별시 성동구 옥수동 산1-1,127.0212054,37.543564
105,문정근린공원,49972.0,조경시설 : 바닥분수 초가정자 사각정자 휴게벤치 등 기반시설 : 경화토포장로 마사토산책로 등,송파구,서울특별시 송파구 문정동 18-4,127.1275819,37.4862156
106,문화예술공원,74385.0,놀이마당 중앙광장 잔디광장 야외무대 원두막 1동 조각작품 12개소 모래놀이터 등,서초구,서울특별시 서초구 바우뫼로12길 40 (양재동),127.030517,37.467654
107,세종로공원,8868.0,휴게?편익공간 : 야외무대 382㎡ 매점 18㎡ 디자인파라솔 2개소 야외테이블 14개 등 상징광장 : 조선시대 사헌부 및 병조터 흔적복원 490㎡ 한글글자마당 : 168㎡(전국민 공모 11172자로 구성),종로구,서울특별시 종로구 세종대로 189 (우) 03172,126.9758875,37.5735
108,샘말공원(관악산근린공원 샘말지구),10634.0,"음수대, 화장실, 세족대, 황톳길, 휴게시설, 바닥분수, 어린이놀이시설, 생활체육시설, 유아숲체험원",관악구,서울특별시 관악구 대학동 산63-1일대 샘말공원,126.938511,37.4642128
109,초안산생태공원,22113.0,조경시설 : 잔디광장 계류 생태연못 녹지대 편의시설 : 음수대 유희시설 : 조합놀이대 시소 그네 운동시설 : 생활체육시설 관리시설 : CCTV 공원등 공원안내판 유희시설 : 산책로 중앙진입로,도봉구,서울특별시 도봉구 창동 산24,127.0405382,37.6479483
110,푸른수목원,200956.0,"KB숲교육센터,20개의 주제정원,항동저수지,잔디마당,편의시설",구로구,서울특별시 구로구 서해안로 2117(항동81-1) 푸른수목원관리사무소,126.82407,37.483029
111,서오능도시자연공원,1082847.0,산책로(둘레길) 탑골생태공원 유아숲체험장 운동시설 등,은평구,서울특별시 은평구 구파발동 갈현동 진관내동,126.9134338,37.6374823
112,청계산도시자연공원,3607700.0,정자 4동 파고라 약수터 화장실 등,서초구,서울특별시 서초구 원지동 산 33,127.0424726,37.4224347
113,개화근린공원,386500.0,약사사 약사사 3층석탑 미타사 약수터 6?25전사자위령탑 운동시설 등,강서구,서울특별시 강서구 개화동 산17,126.8068278,37.5813917
114,아차산공원,23450.0,"어울림광장, 어울림정원, 여가센터, 습지원, 맨발길, 약수터 등",광진구,서울특별시 광진구 광장동 370,127.1010031,37.5517142
