worker_id,base_year_quarter_code,commercial_code,commercial_name,total_worker_population,age_20_worker_population,age_30_worker_population,age_40_worker_population,age_60_plus_worker_population,age_20_40_worker,age_20_40_worker_ratio,age_60_plus_worker_ratio
20221_3110352,20221,3110352,수유1동주민센터,220,17,40,59,36,116,0.527273,0.163636
20221_3110351,20221,3110351,수유북부시장옆,345,28,68,90,54,186,0.53913,0.156522
20221_3110350,20221,3110350,가오리역 2번,196,14,39,51,31,104,0.530612,0.158163
20221_3110349,20221,3110349,화계역 2번,17,1,3,5,2,9,0.529412,0.117647
20221_3110348,20221,3110348,강북문화예술회관,434,34,86,114,68,234,0.539171,0.156682
20221_3110347,20221,3110347,구세군강북종합사회복지관,24,2,4,6,5,12,0.5,0.208333
20221_3110346,20221,3110346,4.19민주묘지역 2번,246,5,13,35,130,53,0.215447,0.528455
20221_3110345,20221,3110345,솔밭공원역 2번,318,8,19,44,167,71,0.22327,0.525157
20221_3110344,20221,3110344,화계중학교,111,8,20,30,19,58,0.522523,0.171171
20221_3110343,20221,3110343,무너미어린이공원,171,7,20,36,58,63,0.368421,0.339181
20221_3110342,20221,3110342,국립재활원,167,14,32,44,24,90,0.538922,0.143713
20221_3110341,20221,3110341,북한산우이역 2번,485,18,35,65,250,118,0.243299,0.515464
20221_3110340,20221,3110340,인수중학교,283,23,53,71,54,147,0.519435,0.190813
20221_3110339,20221,3110339,국립4.19민주묘지,183,7,13,25,93,45,0.245902,0.508197
20221_3110338,20221,3110338,인수초등학교,89,7,17,24,14,48,0.539326,0.157303
20221_3110337,20221,3110337,아카데미하우스,553,21,41,77,276,139,0.251356,0.499096
20221_3110336,20221,3110336,석관고등학교,179,10,23,32,74,65,0.363128,0.413408
20221_3110335,20221,3110335,석계역 7번,461,28,68,86,182,182,0.394794,0.394794
20221_3110334,20221,3110334,석관중앙교회,162,2,22,28,75,52,0.320988,0.462963
20221_3110333,20221,3110333,돌곶이역 5번,403,30,56,72,162,158,0.39206,0.401985
20221_3110332,20221,3110332,돌곶이역 3번,302,29,55,70,69,154,0.509934,0.228477
20221_3110331,20221,3110331,돌곶이역 8번,824,58,118,151,327,327,0.396845,0.396845
20221_3110330,20221,3110330,돌곶이역 1번,233,10,36,60,67,106,0.454936,0.287554
20221_3110329,20221,3110329,우리은행체육관,228,25,42,52,50,119,0.52193,0.219298
20221_3110328,20221,3110328,상월곡역 3번,537,70,134,126,110,330,0.614525,0.204842
20221_3110327,20221,3110327,상월곡역 2번,348,36,85,92,63,213,0.612069,0.181034
20221_3110326,20221,3110326,장위동성당,59,9,11,14,12,34,0.576271,0.20339
20221_3110325,20221,3110325,장곡초등학교,212,35,44,52,33,131,0.617925,0.15566
20221_3110324,20221,3110324,월곡역 4번,239,40,67,57,32,164,0.686192,0.133891
20221_3110323,20221,3110323,상월곡역 1번,366,54,106,93,47,253,0.691257,0.128415
20221_3110322,20221,3110322,장위1동주민센터,200,38,42,46,32,126,0.63,0.16
20221_3110321,20221,3110321,동덕여대,30,2,4,6,12,12,0.4,0.4
20221_3110320,20221,3110320,KB국민은행 종암동지점,2746,235,695,973,59,1903,0.693008,0.021486
20221_3110319,20221,3110319,종암동주민센터,3089,262,785,1095,65,2142,0.693428,0.021042
20221_3110318,20221,3110318,KT월곡지사,461,28,55,95,185,178,0.386117,0.401302
20221_3110317,20221,3110317,종암중학교,1460,124,369,519,30,1012,0.693151,0.020548
20221_3110316,20221,3110316,숭곡초등학교,1030,50,122,211,421,383,0.371845,0.408738
20221_3110315,20221,3110315,종암아이파크2차,2550,217,647,903,52,1767,0.692941,0.020392
20221_3110314,20221,3110314,종암경찰서,5116,436,1298,1816,106,3550,0.693901,0.020719
20221_3110313,20221,3110313,안암역 3번,556,73,149,161,51,383,0.688849,0.091727
20221_3110312,20221,3110312,안암역 2번,796,109,210,226,80,545,0.684673,0.100503
20221_3110311,20221,3110311,종암아이파크2차후문,371,32,94,132,7,258,0.695418,0.018868
20221_3110310,20221,3110310,길음역 10번,53,12,13,13,4,38,0.716981,0.075472
20221_3110309,20221,3110309,대광초등학교,232,30,60,67,22,157,0.676724,0.094828
20221_3110308,20221,3110308,길음역 8번,105,7,21,31,12,59,0.561905,0.114286
20221_3110307,20221,3110307,길음역 7번,2766,973,682,464,167,2119,0.766088,0.060376
20221_3110306,20221,3110306,미아초등학교,1220,428,300,205,75,933,0.764754,0.061475
20221_3110305,20221,3110305,보문역 5번,1087,106,322,235,198,663,0.609936,0.182153
