senior_id,facility_name,facility_type,district_code,district_name,facility_address
C0608462699,반포느티나무쉼터,노인여가복지시설,1165000000,서초구,"서울특별시 서초구 신반포로 127, 4층 (반포동, 반포2동열린문화센터)"
C0608954392,은곡시니어센터,노인여가복지시설,1168000000,강남구,서울특별시 강남구 헌릉로571길 48 (세곡동)
C0608954445,문정노인종합복지관,노인여가복지시설,1171000000,송파구,서울특별시 송파구 송이로37길 11 (문정동)
C0609064754,삼성시니어센터,노인여가복지시설,1168000000,강남구,서울특별시 강남구 봉은사로111길 18-3 (삼성동)
C0609131597,동백꽃노인종합복지관,노인여가복지시설,1123000000,동대문구,서울특별시 동대문구 전농동 146번지
C0609131599,동백꽃노인종합복지관,노인여가복지시설,1123000000,동대문구,서울특별시 동대문구 전농동 146번지
C0609364141,에버그린 교실,노인여가복지시설,1144000000,마포구,"서울특별시 마포구 마포대로 197-1 (아현동, 아현장로교회)"
C0609451583,용두동교회 평생대학(노인교실),노인여가복지시설,1123000000,동대문구,서울특별시 동대문구 왕산로17길 14 (용두동)
C0609451586,용두동교회 평생대학(노인교실),노인여가복지시설,1123000000,동대문구,서울특별시 동대문구 왕산로17길 14 (용두동)
C0609492239,면목 야고보대학,노인여가복지시설,1126000000,중랑구,서울특별시 중랑구 면목로58길 41 (면목동)
C0609522799,동대문성당 시니어대학,노인여가복지시설,1111000000,종로구,"서울특별시 종로구 난계로25길 54 (숭인동, 동대문성당)"
C0609565860,행복한 미라클시니어아카데미,노인여가복지시설,1121500000,광진구,"서울특별시 광진구 능동로47길 15, 2층 (중곡동)"
C0609565861,행복한 미라클시니어아케데미,노인여가복지시설,1121500000,광진구,"서울특별시 광진구 능동로47길 15, 2층 (중곡동)"
C0609565916,수서시니어아카데미,노인여가복지시설,1168000000,강남구,서울특별시 강남구 광평로 199 (수서동)
C0609575153,행복한 미라클시니어아카데미,노인여가복지시설,1121500000,광진구,"서울특별시 광진구 능동로47길 15, 2층 (중곡동)"
C0609608169,강남구립 도곡1노인복지관,노인여가복지시설,1168000000,강남구,서울특별시 강남구 강남대로44길 25 (도곡동)
C0609620191,왕십리2동노인복지관,노인여가복지시설,1120000000,성동구,서울특별시 성동구 무학봉길 69 (하왕십리동)
C0609630155,선정시니어센터,노인여가복지시설,1168000000,강남구,서울특별시 강남구 선릉로105길 5 (역삼동)
C0609677430,관악어르신행복센터,노인여가복지시설,1162000000,관악구,"서울특별시 관악구 관악로5길 95 (봉천동, 1층)"
C0609691202,동대문50플러스센터,노인여가복지시설,1123000000,동대문구,"서울특별시 동대문구 외대역동로5길 18 (휘경동, 동대문50플러스센터)"
C0609695591,사당솔밭도서관 노인교실,노인여가복지시설,1159000000,동작구,서울특별시 동작구 솔밭로 86 (사당동)
C0609714719,종로구지회 부설 노인대학,노인여가복지시설,1111000000,종로구,"서울특별시 종로구 대학로3길 14, 3층 (효제동, (북촌별관) 북촌로5가길 17-7)"
C0609723116,김영삼도서관,노인여가복지시설,1159000000,동작구,서울특별시 동작구 매봉로 1 (상도1동)
C0609729032,꿈꾸는 실버아카데미,노인여가복지시설,1123000000,동대문구,"서울특별시 동대문구 한천로58길 47 (이문동, 쌍용아파트)"
C0609732365,강서구립마곡어르신복지관,노인여가복지시설,1150000000,강서구,서울특별시 강서구 마곡중앙5로 43 (마곡동)
C0609740087,방배4동 느티나무쉼터,노인여가복지시설,1165000000,서초구,"서울특별시 서초구 방배중앙로 118, 2층 (방배동, 서초 시니어플라자)"
C0609740344,포이시니어센터,노인여가복지시설,1168000000,강남구,"서울특별시 강남구 논현로16길 11, 1층 (개포동)"
C0609740449,구파발성당 예수성심대학,노인여가복지시설,1138000000,은평구,"서울특별시 은평구 진관2로 29-16 (진관동, 구파발성당)"
F00249,청구노인복지센터(분관),노인여가복지시설,1114000000,중구,서울특별시 중구 청구로3길 69 (신당동)
F03847,금천한내어르신복지센터,노인여가복지시설,1154500000,금천구,"서울특별시 금천구 한내로 69-15 (독산동, 주공13단지아파트)"
F03957,반석노인교실,노인여가복지시설,1154500000,금천구,서울특별시 금천구 독산로78길 20 (독산동)
F03958,성가정시니어아카데미,노인여가복지시설,1154500000,금천구,서울특별시 금천구 두산로5길 19독산1동성당 (독산동)
F03959,시흥노인교실,노인여가복지시설,1154500000,금천구,서울특별시 금천구 금하로23다길 8 (시흥동)
F03960,신일노인교실,노인여가복지시설,1154500000,금천구,서울특별시 금천구 시흥대로90길 25신일교회 (독산동)
F03961,제일노인교실,노인여가복지시설,1154500000,금천구,서울특별시 금천구 탑골로2길 56제일교회 (시흥동)
F03962,행복시니어아카데미,노인여가복지시설,1154500000,금천구,서울특별시 금천구 독산로38길 10시흥4동성당 (시흥동)
F04655,금천어르신복지센터,노인여가복지시설,1154500000,금천구,서울특별시 금천구 범안로17길 22 (독산동)
F04691,시흥중앙교회 시니어아카데미,노인여가복지시설,1154500000,금천구,서울특별시 금천구 시흥대로72길 13 (시흥동)
F14041,구립 수락노인종합복지관,노인여가복지시설,1135000000,노원구,서울특별시 노원구 수락산로 214상계동 (상계동)
G0434,구립용마경로복지관,노인여가복지시설,1126000000,중랑구,서울특별시 중랑구 용마산로94길 98 (면목동)
G0723,인왕노인복지관,노인여가복지시설,1141000000,서대문구,서울특별시 서대문구 통일로26길 12-5 (홍제동)
G0811,용강 노인복지관,노인여가복지시설,1144000000,마포구,서울특별시 마포구 토정로31길 31 (용강동)
G1269,목동어르신복지관,노인여가복지시설,1147000000,양천구,서울특별시 양천구 목동중앙로3길 21 (목동)
G1437,사당어르신종합복지관,노인여가복지시설,1159000000,동작구,"서울특별시 동작구 남부순환로 2081 (사당동, 사당노인종합복지관)"
G1664,동작50+센터,노인여가복지시설,1159000000,동작구,"서울특별시 동작구 노량진로 140 (노량진동, 메가스터디타워 2층)"
G1685,구립영등포어르신복지센터,노인여가복지시설,1156000000,영등포구,서울특별시 영등포구 영등포동 645 번지 20 호
G1782,영등포50플러스센터,노인여가복지시설,1156000000,영등포구,서울특별시 영등포구 여의도동 56번지 1호
G2071,강남구립 압구정노인복지관,노인여가복지시설,1168000000,강남구,서울특별시 강남구 도산대로53길 5 (신사동)
G2529,노원50플러스센터,노인여가복지시설,1135000000,노원구,서울특별시 노원구 노원로30길 73 (상계동)
G2581,송파실벗뜨락,노인여가복지시설,1171000000,송파구,서울특별시 송파구 백제고분로42길 5 (송파동)
G2855,사근동노인복지관,노인여가복지시설,1120000000,성동구,"서울특별시 성동구 사근동길 37, 2층 (사근동)"
G3369,밝은내어르신복지센터,노인여가복지시설,1147000000,양천구,"서울특별시 양천구 지양로14길 17, 4층 (신월동, 신월7동주민센터)"
G3614,구립대조노인복지관,노인여가복지시설,1138000000,은평구,서울특별시 은평구 역말로9길 대조노인복지관 대조 동
G3763,청춘아카데미,노인여가복지시설,1162000000,관악구,서울특별시 관악구 방천길 39 (신림동)
G3875,구립신내경로복지관,노인여가복지시설,1126000000,중랑구,서울특별시 중랑구 망우로65길 20 (신내동)
G4109,월계노인복지관,노인여가복지시설,1135000000,노원구,서울특별시 노원구 월계동  936번지
G4165,성북구립 석관실버복지센터,노인여가복지시설,1129000000,성북구,서울특별시 성북구 화랑로32길 88 (석관동)
G4230,성북구립 정릉실버복지센터,노인여가복지시설,1129000000,성북구,서울특별시 성북구 솔샘로 8 (정릉동)
G4573,성북50플러스센터,노인여가복지시설,1129000000,성북구,서울특별시 성북구 지봉로24길 26 (보문동5가)
G4645,서초구립느티나무쉼터,노인여가복지시설,1165000000,서초구,서울특별시 서초구 염곡말길 느티나무쉼터
G4813,성수1가2동노인복지관,노인여가복지시설,1120000000,성동구,"서울특별시 성동구 왕십리로5길 3, 6층 (성수동1가, 성수1가2동 공공복합청사)"
G5082,성북구립 삼선실버복지센터,노인여가복지시설,1129000000,성북구,서울특별시 성북구 삼선교로18길 41 (삼선동5가)
G5500,매봉시니어센터,노인여가복지시설,1168000000,강남구,"서울특별시 강남구 남부순환로378길 20, 1층-지하1층 (도곡동)"
G5617,서서울어르신복지관,노인여가복지시설,1147000000,양천구,서울특별시 양천구 가로공원로60가길 16 (신월동)
G6471,금천한내어르신복지센터,노인여가복지시설,1154500000,금천구,"서울특별시 금천구 한내로 69-15, 4층 (독산동, 독산1동 분소지역 복지관)"
G6756,금천어르신복지센터,노인여가복지시설,1154500000,금천구,서울특별시 금천구 범안로17길 22 (독산동)
G8867,서초50플러스센터,노인여가복지시설,1165000000,서초구,서울특별시 서초구 염곡말길 9 (염곡동)
G9616,방배느티나무쉼터,노인여가복지시설,1165000000,서초구,서울특별시 서초구 남부순환로287길 17-4 (방배동)
P1497,청춘만세 창동어르신문화센터,노인여가복지시설,1132000000,도봉구,"서울특별시 도봉구 마들로 536, 5층 (창동)"
P3909,용답동노인복지관,노인여가복지시설,1120000000,성동구,서울특별시 성동구 용답동  183번지 3호
P3949,강북50플러스센터,노인여가복지시설,1130500000,강북구,서울특별시 강북구 오현로9길 49 (미아동)
Z0629,서초구립방배노인종합복지관,노인여가복지시설,1165000000,서초구,서울특별시 서초구 방배천로 48 (방배동)
