query_id,gold_place_name,gold_district,raw_candidate_count,in_raw_top50,best_raw_rank,in_optimized_top10,best_optimized_rank,coverage_status
2026-03-10_17:40_중구,황학시장 입구,중구,50,False,,False,,missing_from_raw_candidates
2026-03-11_15:10_영등포구,영등포전통시장 남문,영등포구,26,True,7,True,2,covered
2026-03-11_16:20_영등포구,대림중앙시장,영등포구,26,True,8,True,5,covered
2026-03-12_16:00_강서구,방신전통시장,강서구,50,True,9,True,1,covered
2026-03-12_17:25_강서구,남부골목시장,강서구,50,True,5,True,5,covered
2026-03-13_14:10_노원구,상계중앙시장,노원구,50,True,10,True,2,covered
2026-03-13_14:50_노원구,구립수락노인종합복지관,노원구,25,False,,False,,missing_from_raw_candidates
2026-03-13_15:30_노원구,공릉도깨비시장,노원구,50,False,,False,,missing_from_raw_candidates
2026-03-16_13:00_구로구,남구로시장,구로구,13,True,5,True,2,covered
2026-03-16_14:00_구로구,궁동종합사회복지관,구로구,15,False,,False,,missing_from_raw_candidates
2026-03-17_14:00_마포구,"망원시장, 월드컵시장",마포구,24,True,8,True,3,covered
2026-03-19_10:00_송파구,잠실학생체육관,송파구,50,False,,False,,missing_from_raw_candidates
2026-03-24_17:00_광화문,세종대로 사거리 광화문 광장,광화문,50,False,,False,,missing_from_raw_candidates
2026-03-24_17:40_종로구,세종마을 음식문화거리,종로구,40,True,8,True,8,covered
2026-03-25_17:20_광진구,중곡제일골목시장,광진구,50,True,5,True,3,covered
2026-03-25_18:15_광진구,건대 맛의거리,광진구,50,False,,False,,missing_from_raw_candidates
2026-03-26_16:00_관악구,도림천,관악구,50,False,,False,,missing_from_raw_candidates
2026-03-26_16:15_관악구,신원시장,관악구,50,True,7,True,6,covered
2026-03-28_12:50_성동구,응봉산 팔각정,성동구,50,False,,False,,missing_from_raw_candidates
2026-03-30_11:00_동작구,노량진수산시장,동작구,50,True,1,True,1,covered
2026-03-31_11:30_동대문구,장안동 벚꽃길,동대문구,50,False,,False,,missing_from_raw_candidates
2026-04-02_16:00_양천구,파리공원,양천구,50,False,,False,,missing_from_raw_candidates
2026-04-04_10:00_노원구,마들스포츠타운,노원구,50,False,,False,,missing_from_raw_candidates
2026-04-05_17:40_양천구,양재천 수변무대 일대,양천구,50,False,,False,,missing_from_raw_candidates
2026-04-06_16:30_강북구,수유시장,강북구,13,True,7,True,1,covered
2026-04-06_18:00_성북구,성북천 상점가,성북구,24,False,,False,,missing_from_raw_candidates
2026-04-07_15:40_동작구,남성사계시장,동작구,50,True,5,True,6,covered
2026-04-07_16:40_동작구,성대전통시장,동작구,50,True,4,True,2,covered
2026-04-08_17:00_서대문구,영천시장,서대문구,23,True,9,True,2,covered
2026-04-08_17:55_서대문구,홍제천 인공폭포,서대문구,50,False,,False,,missing_from_raw_candidates
2026-04-09_15:00_중랑구,동원시장,중랑구,50,False,,False,,missing_from_raw_candidates
2026-04-09_15:50_중랑구,우림시장,중랑구,50,False,,False,,missing_from_raw_candidates
2026-04-15_10:55_종로구,북촌의 봄,종로구,39,False,,False,,missing_from_raw_candidates
2026-04-17_07:30_송파구,가락몰 농수산물시장,송파구,50,False,,False,,missing_from_raw_candidates
2026-04-17_15:30_강동구,명일동 싱크홀 현장,강동구,50,False,,False,,missing_from_raw_candidates
2026-04-17_16:00_강동구,고덕비즈밸리,강동구,50,False,,False,,missing_from_raw_candidates
2026-04-17_16:35_강동구,고덕비즈밸리역 공사현장,강동구,50,False,,False,,missing_from_raw_candidates
2026-04-19_14:40_노원구,불암산철쭉동산,노원구,50,False,,False,,missing_from_raw_candidates
2026-04-22_18:00_은평구,불광천,은평구,50,False,,False,,missing_from_raw_candidates
2026-04-24_14:45_성동구,아지오 성수점,성동구,19,False,,False,,missing_from_raw_candidates
2026-04-24_16:50_성동구,금남시장,성동구,19,True,9,True,5,covered
2026-04-25_09:00_서초구,잠수대교 남단,서초구,50,False,,False,,missing_from_raw_candidates
2026-04-25_11:40_중구,남대문시장,중구,50,True,1,True,1,covered
2026-04-26_11:55_영등포구,광야홈리스복지센터,영등포구,21,False,,False,,missing_from_raw_candidates
2026-04-27_10:20_서초구,광수약국,서초구,50,False,,False,,missing_from_raw_candidates
2026-04-27_11:00_서초구,서울고속버스터미널 지하상가,서초구,50,False,,False,,missing_from_raw_candidates
2026-04-29_10:50_성북구,장위14주택재개발구역,성북구,50,False,,False,,missing_from_raw_candidates
2026-04-29_12:00_성북구,정릉공영차고지,성북구,50,False,,False,,missing_from_raw_candidates
2026-04-30_05:00_양천구,신정차량사업소,양천구,50,False,,False,,missing_from_raw_candidates
2026-04-30_05:40_양천구,양천공영차고지,양천구,50,False,,False,,missing_from_raw_candidates
2026-04-30_15:00_금천구,금천 현대시장,금천구,50,False,,False,,missing_from_raw_candidates
2026-05-01_14:00_마포구,여의도공원 10번 출구,마포구,50,False,,False,,missing_from_raw_candidates
2026-05-02_07:00_마포구,마포구 월드컵로 251,마포구,19,False,,False,,missing_from_raw_candidates
2026-05-02_10:00_동대문구,밥퍼나눔운동본부,동대문구,24,False,,False,,missing_from_raw_candidates
2026-05-03_08:30_용산구,효창운동장,용산구,50,False,,False,,missing_from_raw_candidates
2026-05-04_14:30_영등포구,한국거래소,영등포구,50,False,,False,,missing_from_raw_candidates
2026-05-05_11:00_광진구,서울어린이대공원,광진구,44,True,9,True,1,covered
2026-05-05_13:00_송파구,잠실종합운동장,송파구,14,False,,False,,missing_from_raw_candidates
2026-05-06_10:40_중구,장충체육관,중구,25,False,,False,,missing_from_raw_candidates
2026-05-07_16:00_송파구,송파 거여새마을지구 공공재개발 현장,송파구,50,False,,False,,missing_from_raw_candidates
2026-05-07_17:00_송파구,새마을전통시장,송파구,50,True,8,True,4,covered
2026-05-08_15:00_강남구,개포우성7차아파트 1015~105동 사이,강남구,50,False,,False,,missing_from_raw_candidates
2026-05-09_11:45_영등포구,샛강생태공원,영등포구,50,False,,False,,missing_from_raw_candidates
2026-05-09_13:30_영등포구,여의도공원 3동 무궁화화장실 앞,영등포구,20,False,,False,,missing_from_raw_candidates
2026-05-11_10:00_강서구,마곡 LG사이언스파크 ISC동,강서구,15,False,,False,,missing_from_raw_candidates
2026-05-14_14:00_중구,투썸플레이스 정동길점,중구,50,False,,False,,missing_from_raw_candidates
2026-05-15_14:40_중랑구,먹골역 7번출구 앞,중랑구,50,False,,False,,missing_from_raw_candidates
2026-05-16_10:00_송파구,잠실실내체육관,송파구,14,False,,False,,missing_from_raw_candidates
2026-05-16_12:30_성동구,성수역 3번출구 앞,성동구,19,False,,False,,missing_from_raw_candidates
2026-05-16_18:40_종로구,황인재문,종로구,50,False,,False,,missing_from_raw_candidates
