model_name,P@1,P@3,P@5,P@10,R@1,R@3,R@5,R@10,NDCG@1,NDCG@3,NDCG@5,NDCG@10,optimization_score
baseline,0.02857142857142857,0.009523809523809523,0.02,0.027142857142857146,0.02857142857142857,0.02857142857142857,0.1,0.2714285714285714,0.02857142857142857,0.02857142857142857,0.05682982552873656,0.11047331575897554,0.07685613670611763
district_weighted,0.04285714285714286,0.02857142857142857,0.037142857142857144,0.027142857142857146,0.04285714285714286,0.08571428571428572,0.18571428571428572,0.2714285714285714,0.04285714285714286,0.06428571428571428,0.10484915575940494,0.13335738309272524,0.09396079836816812
place_type_weighted,0.02857142857142857,0.009523809523809523,0.02,0.027142857142857146,0.02857142857142857,0.02857142857142857,0.1,0.2714285714285714,0.02857142857142857,0.02857142857142857,0.05682982552873656,0.11047331575897554,0.07685613670611763
time_weighted,0.02857142857142857,0.009523809523809523,0.02,0.027142857142857146,0.02857142857142857,0.02857142857142857,0.1,0.2714285714285714,0.02857142857142857,0.02857142857142857,0.05682982552873656,0.11047331575897554,0.07685613670611763
proposed,0.04285714285714286,0.02857142857142857,0.037142857142857144,0.027142857142857146,0.04285714285714286,0.08571428571428572,0.18571428571428572,0.2714285714285714,0.04285714285714286,0.06428571428571428,0.10484915575940494,0.13335738309272524,0.09396079836816812
optimized_proposed,0.07142857142857142,0.05714285714285714,0.045714285714285714,0.027142857142857146,0.07142857142857142,0.17142857142857143,0.22857142857142856,0.2714285714285714,0.07142857142857142,0.13078069668367553,0.15351262496620435,0.1681966142662297,0.11986881499318039
