query_id,k,precision_at_k,recall_at_k,ndcg_at_k,hits,total_relevant,recommended_count_at_k,matched_gold_ids,match_methods
OH_20260508_1030_중구_서울장애인종합복지관_OH_0052,3,0.0,0.0,0.0,0,1,3,,
OH_20260508_1030_중구_서울장애인종합복지관_OH_0052,5,0.0,0.0,0.0,0,1,5,,
OH_20260508_1030_중구_서울장애인종합복지관_OH_0052,10,0.0,0.0,0.0,0,1,10,,
OH_20260508_1400_서대문구_가좌역광장_OH_0053,1,0.0,0.0,0.0,0,1,1,,
OH_20260508_1400_서대문구_가좌역광장_OH_0053,3,0.0,0.0,0.0,0,1,3,,
OH_20260508_1400_서대문구_가좌역광장_OH_0053,5,0.0,0.0,0.0,0,1,5,,
OH_20260508_1400_서대문구_가좌역광장_OH_0053,10,0.0,0.0,0.0,0,1,10,,
OH_20260509_1500_동대문구_청량리경동시장일대_OH_0058,1,0.0,0.0,0.0,0,1,1,,
OH_20260509_1500_동대문구_청량리경동시장일대_OH_0058,3,0.0,0.0,0.0,0,1,3,,
OH_20260509_1500_동대문구_청량리경동시장일대_OH_0058,5,0.2,1.0,0.43067655807339306,1,1,5,OH_0058,partial
OH_20260509_1500_동대문구_청량리경동시장일대_OH_0058,10,0.1,1.0,0.43067655807339306,1,1,10,OH_0058,partial
OH_20260511_1420_구로구_고척1동이동약자현장_OH_0062,1,0.0,0.0,0.0,0,1,1,,
OH_20260511_1420_구로구_고척1동이동약자현장_OH_0062,3,0.0,0.0,0.0,0,1,3,,
OH_20260511_1420_구로구_고척1동이동약자현장_OH_0062,5,0.0,0.0,0.0,0,1,5,,
OH_20260511_1420_구로구_고척1동이동약자현장_OH_0062,10,0.0,0.0,0.0,0,1,10,,
OH_20260512_1000_종로구_광화문광장감사의정원_OH_0065,1,0.0,0.0,0.0,0,1,1,,
OH_20260512_1000_종로구_광화문광장감사의정원_OH_0065,3,0.0,0.0,0.0,0,1,3,,
OH_20260512_1000_종로구_광화문광장감사의정원_OH_0065,5,0.0,0.0,0.0,0,1,5,,
