k,precision_at_k,recall_at_k,ndcg_at_k,query_count
1,0.07100591715976332,0.07100591715976332,0.07100591715976332,169
3,0.03747534516765286,0.11242603550295859,0.09404017314032173,169
5,0.03550295857988166,0.17751479289940827,0.120516502334252,169
10,0.024852071005917162,0.2485207100591716,0.14360014500940002,169
