query_id,rank,recommended_place_name,recommended_district,recommended_place_type,baseline_score,raw_rank,district_bonus,place_type_bonus,time_bonus,context_bonus,target_bonus,rank_bonus,final_variant_score,score
OH_20260501_1630_성동구_서울숲야외무대_OH_0020,6,봉은공원,강남구,park,0.7451,1,0.45,1.0,0.7,0.53,0.7,1.0,1.4661,1.4661
OH_20260501_1630_성동구_서울숲야외무대_OH_0020,7,남산공원,중구,park,0.7185,5,0.45,1.0,0.7,0.53,0.7,0.918367,1.4395,1.4395
OH_20260501_1630_성동구_서울숲야외무대_OH_0020,8,도산근린공원,강남구,park,0.5922,18,0.45,1.0,0.7,0.53,0.7,0.653061,1.3132,1.3132
OH_20260501_1630_성동구_서울숲야외무대_OH_0020,9,간데메근린공원,동대문구,park,0.5897,21,0.45,1.0,0.7,0.53,0.7,0.591837,1.3107,1.3107
OH_20260501_1630_성동구_서울숲야외무대_OH_0020,10,서소문역사공원,중구,park,0.4624,32,0.45,1.0,0.7,0.53,0.7,0.367347,1.1834,1.1834
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,1,월드컵공원,마포구,park,0.7248,2,1.0,1.0,0.15,0.35,0.7,0.979592,1.7948,1.7948
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,2,문화비축기지,마포구,park,0.6163,7,1.0,1.0,0.15,0.35,0.7,0.877551,1.6863,1.6863
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,3,와우근린공원,마포구,park,0.6129,8,1.0,1.0,0.15,0.35,0.7,0.857143,1.6829,1.6829
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,4,상암근린공원,마포구,park,0.6077,9,1.0,1.0,0.15,0.35,0.7,0.836735,1.6777,1.6777
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,5,외국인묘지공원,마포구,park,0.565,10,1.0,1.0,0.15,0.35,0.7,0.816327,1.635,1.635
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,6,백련근린공원,서대문구,park,0.7077,4,0.45,1.0,0.15,0.35,0.7,0.938776,1.3927,1.3927
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,7,안산도시자연공원,서대문구,park,0.6971,6,0.45,1.0,0.15,0.35,0.7,0.897959,1.3821,1.3821
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,8,매화근린공원,강서구,park,0.5416,14,0.45,1.0,0.15,0.35,0.7,0.734694,1.2266,1.2266
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,9,진관근린공원(구파발폭포),은평구,park,0.4701,16,0.45,1.0,0.15,0.35,0.7,0.693878,1.1551,1.1551
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,10,봉은공원,강남구,park,0.7275,1,0.0,1.0,0.15,0.35,0.7,1.0,1.0975,1.0975
